ID,KOR,ENG
PlayerStatsButton000,플레이어 스탯,Stats
PlayerStatsButton001,공격력 강화,Power Upgrade
PlayerStatsButton002,공격력 증폭 강화,Power Boost Upgrade
PlayerStatsButton003,공격 속도 강화,Attack Speed Upgrade
PlayerStatsButton004,치명타 확률 강화,Critcal Upgrade
PlayerStatsButton005,치명타 피해 강화,Critcal Power Upgrade
PlayerStatsButton006,몬스터 피해량 강화,Monster Damage Upgrade
PlayerStatsButton007,체력 강화,Hp Upgrade
PlayerStatsButton008,회복량 강화,Healing Upgrade
PlayerStatsButton009,닫기,Close
PlayerStatsButton010,인벤토리,Inventory
PlayerStats001,플레이어 강화 상태,Player Upgrade Stats
PlayerUpgradeStatsDisplay000,공격력  ,Power
PlayerUpgradeStatsDisplay001,공격력 증폭률 ,PowerBoost
PlayerUpgradeStatsDisplay002,공격속도 ,Attack Speed
PlayerUpgradeStatsDisplay003,치명타 확률 ,Critical
PlayerUpgradeStatsDisplay004,치명타 피해량 ,Critical Damage
PlayerUpgradeStatsDisplay005,몬스터 피해량 ,Monster Damage
PlayerUpgradeStatsDisplay006,체력 ,Hp
PlayerUpgradeStatsDisplay007,회복량 ,Healing
PlayerDisplayCloseButton001,닫기,Close
